Just looking at him makes me  M_go M_weak at the M_knees .
"It was a  M_fiery , passionate relationship."
His touch  M_inflamed  her senses.
She gave him a  M_smouldering  look.
His eyes  M_burned  with desire.
The movie includes some  M_steamy  sex scenes.
Sara felt herself  M_melting  into his arms.
Their ideas were  M_based /built on many years of practical experience.
It was a carefully  M_constructed  theory.
Your accusations are without  M_foundation .
It proved to be a  M_groundbreaking  new idea.
It gave us a suitable  M_frame of M_reference .
This helped  M_buttress /underpin his arguments.
She completely  M_demolished  his argument.
The theory  M_collapsed /fell apart after he produced new data.
This will help us  M_explode  widespread myths about retirement.
The idea  M_grew  in her mind until she could think of nothing else.
I had already  M_planted the M_idea  in their minds.
I had  M_sown the M_seeds  of doubt.
The idea  M_germinated  slowly in his mind.
This belief quickly  M_took M_root .
These beliefs are  M_deep-rooted .
What does this idea  M_stem  from?
She has a  M_fertile  imagination.
It was a  M_fruitful  line of research.
The work shows evidence of  M_cross-fertilization  from many disciplines.
The news  M_lifted  her spirits.
Things are looking  up .
Cheer  up !
My spirits  M_rose  when I got her letter.
I’ve been  M_walking /floating on air ever since.
I was  over the M_moon  when they told me.
I felt as  M_high as a M_kite .
She’s  on M_top of the M_world /on cloud nine.
I was in  M_seventh M_heaven .
I feel really  down /low about it all.
He’s in very  M_low  spirits.
He’s in the  M_depths  of despair.
My heart  M_sank  when I saw him.
They looked very  down in the M_mouth /down in the dumps.
The future looks very  M_bright /rosy.
She  M_brightened  up when she heard the news.
His face  M_lit up  when he saw them.
They had  M_shining  eyes and beaming/dazzling smiles.
The bride looked  M_radiant .
You have to look for  the M_light at the M_end of the M_tunnel .
He was in a  M_black  mood.
I was feeling  M_blue .
There’s no point in having these  M_dark  thoughts.
His face  M_darkened .
They led a  M_grey  empty existence.
I’m afraid the outlook is very  M_gloomy /bleak/dismal.
The news cast a  M_shadow  over the evening.
"This term, we will be  M_exploring  the psychology of sport."
"In today’s class, I will  M_map out  the most important concepts."
We can  M_approach  the subject from several directions.
Can you give me a few  M_pointers ? What should I read first?
It is an excellent  M_guide  to English vocabulary.
The program allows you to  M_navigate  the Web more easily.
The first  M_step  in learning a language is to learn its sounds.
This aspect of his work is very much  M_uncharted M_territory .
We’re  on M_surer/more M_familiar M_ground  here.
New students have to take an  M_orientation  course.
Allow me to  M_shed/throw some M_light  on the matter.
Can you  M_enlighten  me as to what your intentions are?
There are a couple of points that I’d like you to  M_clear up .
Her work has greatly  M_illuminated  this aspect of the subject.
This  M_spotlights /highlights the problems of bilingual children.
He kept us  in the M_dark  about his plans.
The book concerns the  M_shadowy  world of espionage.
I only have a  M_dim  recollection of what happened next.
I haven’t got the  M_foggiest /faintest idea.
This is a  M_big  opportunity for me.
He is the  M_greatest  writer of the twentieth century.
It is a  M_sizeable /massive achievement.
These are  M_weighty  matters.
Her ideas  M_carry  a lot of weight with the boss .
She’s a performer who has grown in  M_stature .
They are the only intellectual  M_heavyweights  in the government.
I have two  M_little  points to make.
There are some  M_tiny  mistakes to correct.
The novel seems very  M_lightweight /thin/slight.
I don’t expect you to be impressed – it must seem very  M_small M_beer /potatoes to you.
I’d rather be a  M_big M_fish in a M_little M_pond  than the other way around.
She accused him of  M_covering up  the truth.
They  M_hid /concealed the truth as best they could.
He tried to  M_mask /disguise/camouflage his true feelings.
She wanted to  M_bury  the memory of that day.
The operation was  M_cloaked /shrouded/veiled in secrecy.
We will  M_draw a M_veil over  what happened next.
You’re just trying to  M_paper over  the problem.
The project is still  under M_wraps .
They kept it  M_dark  that they were planning to leave next day.
There has been a complete news  M_blackout .
This report is nothing but a  M_whitewash : what really went on?
He  M_uncovered /revealed/exposed a terrible secret.
"After a few minutes, she began to  M_open up  and talk about her family."
You have always been very  M_open  about your feelings.
Someone  M_leaked  the information to the press.
The news had already  M_got out .
My father  M_let the M_cat out of the M_bag  and spoiled the surprise.
Do you know who  M_spilled the M_beans ?
He  M_spilled  his guts to the police.
We want to get a range of different  M_views .
" M_In my M_view , women should be paid the same as men."
It’s important to look at this from the child’s  M_point of M_view .
"From a personal  M_viewpoint , I’d say the whole thing was a disaster."
The book is written from the  M_vantage M_point  of the losers.
I see things from a slightly different  M_perspective .
The Prime Minister spelled out his  M_vision  of the future.
" M_The M_way M_I M_see M_it/As M_I M_see it , people should take responsibility for their own lives."
" M_From where we M_stand , there’s only one answer to that question."
Try to see this from someone else’s  M_standpoint .
Let’s look at this from a slightly different  M_angle .
There’s  more  to this than meets the eye.
He accused his opponents of suffering from  M_tunnel M_vision .
She’s always  had a M_blind M_spot  where her children are concerned.
She was famed for her  M_plain M_speaking .
Every effort is made to write official documents in  M_plain  English.
He was  M_plain-spoken  almost to the point of rudeness.
Her prose is lucid and  M_unadorned .
I want you to give me the  M_unvarnished  truth.
It says here  in M_black and M_white  that if you don’t have a job you can’t get a visa.
"With each retelling, Matt added more  M_embellishments  to his story."
 M_Fancy  writing is often used to obscure the truth.
Everyone  M_embroiders  the truth to some extent.
Her  M_colourful  account of her life proved a huge success.
They  M_glossed over  all the difficult questions.
She tried to  M_defend  herself against his attacks on her ideas.
She  M_shot down  his argument.
That is an  M_indefensible  point of view.
I decided to pursue another  M_line of M_attack .
"We had a big  M_fight  last night, and I went home early."
There was a lot of  M_conflict  over what to do next.
They  M_clashed  over who to appoint.
It was a real  M_battle of M_wits .
We  did M_battle with  the council about the plans.
I’ve  M_crossed M_swords with  them before.
Tom is always the first to leap to her  M_defence .
They greeted us  M_warmly  when we arrived.
They are very  M_warm-hearted /cold-hearted people.
"I didn’t like him at first, but I soon  M_warmed  to him."
She has a  M_sunny  disposition.
Their friendly greetings were met with a  M_frosty  silence.
We were given a rather  M_chilly  reception.
He stared at us  M_coldly .
She treated us with  M_cool  indifference.
The other two girls began to  M_freeze her out .
Observers have noted a  M_thaw  in Franco-American relations.
She has very  M_high /low standards.
The president took the moral  M_high M_ground .
"They are  M_upright , law-abiding people."
"They are fine,  M_upstanding  citizens."
She had  M_lofty  ideals.
He was  above  such small-minded prejudice.
I never thought he’d  M_stoop  to that.
It was a very  M_low /underhand trick.
He’s just a mean and  M_lowdown  cheat.
"After her  M_fall from M_grace , she lost everything."
She’s completely  M_straight : I’d trust her anywhere.
He kept to the  M_straight and M_narrow  after his release from prison.
Are they  on the M_level ? Can we trust them?
I need to  M_level  with you: I can’t pretend that things are OK.
"It was a bad business, involving some  M_crooked  dealers."
It’s not true: you’re  M_twisting  the facts.
The newspapers have  M_put  their own spin/slant on what has happened.
They were accused of  M_bias  in their reporting.
We were presented with a very  M_warped /distorted version of the truth.
The memory of that day is still fresh  in  my mind.
A few doubts remained  at the M_back of  my mind.
Can’t you  M_get it into  your head that I’m not interested?
His head is  M_filled  with useless facts and figures.
"I’ve been  M_searching  my memory, but I still don’t know who she is."
Try to relax:  M_empty  your mind.
I  M_pushed /drove the thought out of my mind.
It  M_crossed  her mind that he was lying.
The idea never  M_entered  my head.
The name was  M_fixed /stuck in her mind.
"I have my suspicions, but I’m trying to keep an  M_open  mind."
His mind is  M_closed  to any new ideas.
I have to  M_carry /shoulder the responsibility for this.
The responsibility was  M_weighing on  my mind.
I don’t want to be a  M_burden  to you.
It was a great  M_weight /load off my mind.
He  M_laid down  his duties as vice-president.
I’ve been  M_saddled with  a lot of extra work.
You need to  M_offload  some of your work.
The house was a  M_millstone M_around  her neck.
Who’s going to  M_carry the can  for this?
I’ve been  M_left M_holding the M_baby .
We all have our  M_crosses to M_bear .
The situation is  M_unbearable .
We are  in  a situation where there are no real winners.
"In this work, the author is back on  M_familiar M_territory ."
It was time for her to leave the family  M_nest .
I’ve felt  at M_home  since the moment I started work here.
He carved out a  M_niche  for himself within the company.
This is right  up  my street/alley.
The park is a  haven  for tired shoppers.
This town has always been a cultural  M_desert .
That part of the city is nothing but a concrete  M_jungle .
He spent many years in the political  M_wilderness .
This is a potential  M_minefield  for beginners.
We have a very  M_rocky M_road  to travel.
I’ve been caught  between a M_rock and a M_hard M_place .
We were left  M_high and M_dry  when they withdrew our funding.
He’s in a  M_tight M_spot .
They have no power/control  over  their staff.
She ruled  over  the empire for many years.
"He remained  at the M_top  for ten years, until his retirement."
They have come out  on M_top  yet again.
She holds the  M_highest  position in the company.
There are many staff  under  her.
How many people are there  above  you?
I began my career as a  M_lowly  office worker.
Don’t let them  M_walk all over  you.
the  M_upper /lower classes
They were  M_downtrodden  and oppressed.
She’s completely  under  his thumb.
They have a  M_hold  over him.
The military forces  M_seized  power.
Police kept a  M_firm M_grip  on dissenters.
She seems to have a  M_handle  on most of the work.
I’ve got the situation well  in M_hand .
The children are completely  out of M_hand .
Who makes the decisions? Who is  M_pulling the M_strings ?
I have no idea who’s  in the M_driving M_seat .
The company expanded greatly during his years  in the M_saddle .
She is  M_steering  the country through much-needed reforms.
She kept her staff on a very  M_tight M_rein .
We are  in  a situation where there are no real winners.
"In this work, the author is back on  M_familiar M_territory ."
It was time for her to leave the family  M_nest .
I’ve felt  at M_home  since the moment I started work here.
He carved out a  M_niche  for himself within the company.
This is right  up  my street/alley.
The park is a  haven  for tired shoppers.
This town has always been a cultural  M_desert .
That part of the city is nothing but a concrete  M_jungle .
He spent many years in the political  M_wilderness .
This is a potential  M_minefield  for beginners.
We have a very  M_rocky M_road  to travel.
I’ve been caught  between a M_rock and a M_hard M_place .
We were left  M_high and M_dry  when they withdrew our funding.
He’s in a  M_tight M_spot .
She thinks we live in a  M_sick  society.
We must address the social  M_ills  that are at the root of crime
She said that there was a  M_cancer  at the very heart of society.
Transport was another  M_headache  for the government.
London was  M_paralysed  by a series of strikes.
We discussed the company and its  M_ailing  finances.
The economy is very  M_healthy /unhealthy.
The economy began to  M_recover .
There is no simple  M_remedy  for the problem.
This latest development has  M_reopened M_old M_wounds .
He bore the  M_scars  of a troubled childhood.
"I’m very sorry, I never intended to  M_mislead  anyone."
He was  M_led M_astray  by the other boys.
I found out I’d been  M_taken for a M_ride .
Ann was furious when she discovered she’d been  M_led M_up/down the M_garden M_path .
Do you think he’s just  M_leading  her on?
The gang  M_laid  a false trail to throw investigators off the scent.
The ship acted as a  M_decoy  while the troops landed on another beach.
It had all been a  M_wild-goose M_chase .
I think they’ve been  M_giving  us the runaround.
I haven’t got any  M_burning  interest in modern art.
It’s the  M_hottest  show in town.
Things  M_heated up /hotted up as soon as the music started.
The audience was at  M_fever M_pitch .
The book was received  M_warmly .
He certainly has  M_fire in  his belly.
She’s always very  M_sparky .
They seemed very  M_lukewarm  when I mentioned it to them.
Her response to the suggestion was  M_tepid .
She  M_poured M_cold M_water on  all my suggestions.
The party turned out to be a  M_damp M_squib .
"He  M_blows M_hot and M_cold  all the time, and I never know where I am with him."
She accused him of  M_covering up  the truth.
They  M_hid /concealed the truth as best they could.
He tried to  M_mask /disguise/camouflage his true feelings.
She wanted to  M_bury  the memory of that day.
The operation was  M_cloaked /shrouded/veiled in secrecy.
We will  M_draw a M_veil over  what happened next.
You’re just trying to  M_paper over  the problem.
The project is still  under M_wraps .
They kept it  M_dark  that they were planning to leave next day.
There has been a complete news  M_blackout .
This report is nothing but a  M_whitewash : what really went on?
He  M_uncovered /revealed/exposed a terrible secret.
"After a few minutes, she began to  M_open up  and talk about her family."
You have always been very  M_open  about your feelings.
Someone  M_leaked  the information to the press.
The news had already  M_got out .
My father  M_let the M_cat out of the M_bag  and spoiled the surprise.
Do you know who  M_spilled the M_beans ?
He  M_spilled  his guts to the police.
She was famed for her  M_plain M_speaking .
Every effort is made to write official documents in  M_plain  English.
He was  M_plain-spoken  almost to the point of rudeness.
Her prose is lucid and  M_unadorned .
I want you to give me the  M_unvarnished  truth.
It says here  in M_black and M_white  that if you don’t have a job you can’t get a visa.
"With each retelling, Matt added more  M_embellishments  to his story."
 M_Fancy  writing is often used to obscure the truth.
Everyone  M_embroiders  the truth to some extent.
Her  M_colourful  account of her life proved a huge success.
They  M_glossed over  all the difficult questions.
"The soldiers were all drunk, and they behaved like  M_animals ."
You greedy  M_pig !
That little  M_rat  has been spying on us.
"Don’t talk to me, you miserable  M_worm ."
It’s time to take action against these  M_sharks  who prey on the poor.
The press were gathering outside her house like  M_vultures .
"I know what you’re up to, you dirty  M_dog ."
His wife was a  M_mousy  little woman.
"You little  M_monkey , have you been playing with my stuff again?"
"There’s nothing to be afraid of, you silly  M_goose ."
"She’s a very original writer, and has never been one to follow the  M_herd ."
"He seems tough, but he’s a  M_pussycat  when you get to know him."
Most people are like  M_sheep  – they just do what everyone else does.
"He described his opponents as  M_dinosaurs , out of touch with present day reality."
"Our children have grown up to be  M_stable , loving adults."
Friends describe Laura as a  M_well-balanced  young woman.
Being married makes me feel  M_grounded .
She was engaged to a  M_solid  young man called Frank.
"He’s a  M_steady  kind of person, nothing fazes him."
"Jayne’s very  M_level-headed , while I’m more up and down."
It’s hard to  M_keep your M_feet on the M_ground  when you suddenly become famous.
"When he left her, she  M_collapsed in a M_heap ."
I had a bit of a  M_wobble  but I’m all right now.
Nothing ever seems to  M_throw her off M_balance .
I was just  M_knocked M_sideways  by what happened.
The news  M_lifted  her spirits.
Things are looking  up .
Cheer  up !
My spirits  M_rose  when I got her letter.
I’ve been  M_walking /floating on air ever since.
I was  over the M_moon  when they told me.
I felt as  M_high as a M_kite .
She’s  on M_top of the M_world /on cloud nine.
I was in  M_seventh M_heaven .
I feel really  down /low about it all.
He’s in very  M_low  spirits.
He’s in the  M_depths  of despair.
My heart  M_sank  when I saw him.
They looked very  down in the M_mouth /down in the dumps.
The future looks very  M_bright /rosy.
She  M_brightened  up when she heard the news.
His face  M_lit up  when he saw them.
They had  M_shining  eyes and beaming/dazzling smiles.
The bride looked  M_radiant .
You have to look for  the M_light at the M_end of the M_tunnel .
He was in a  M_black  mood.
I was feeling  M_blue .
There’s no point in having these  M_dark  thoughts.
His face  M_darkened .
They led a  M_grey  empty existence.
I’m afraid the outlook is very  M_gloomy /bleak/dismal.
The news cast a  M_shadow  over the evening.
I can’t stand that  M_superior  attitude of his!
They  M_look down on  everyone who isn’t as rich as they are.
She’s got very  M_uppity  since she was promoted.
"Despite his great wealth, he’s not at all  M_stuck-up ."
She treated other people with  M_lofty  disdain.
They  M_look down their M_noses  at people like us.
I don’t know why you’re being so  M_high and M_mighty  all of a sudden.
He rose from  M_lowly  origins.
His family snubbed her because she was  M_low-born .
We were taught to  M_look up to  people from a higher class.
The way you  M_crawl to  him makes me sick.
I’m not going to  M_abase myself  before anyone.
They regarded ordinary working people as their social  M_inferiors .
I was feeling a bit  M_tense .
I find running is a good way to release  M_tension .
Her voice was high and  M_strained .
There’s no need to get so  M_wound up  about it.
I’ve been really  M_strung out  lately.
"She’s so  M_highly-strung , she needs very sensitive handling."
I felt  M_taut  and tense with nerves.
I don’t know why he gets so  M_uptight  about things.
Her stomach seemed to be  M_tying itself in M_knots .
You should try to  M_loosen up  a bit.
It’s good to  M_unwind  at the end of the day.
Just  M_let M_go  of all your worries.
I told her to  M_hang M_loose  and stop worrying.
It’s a place where people can  M_let their M_hair down .
These are the kind of issues that really  M_engage  people.
I first  M_got into  drama as a student.
The children were completely  M_absorbed in  their work.
I became very  M_involved with  the problem of poverty.
We were  M_gripped by  this fantastic film.
What  M_drew you to  politics in the first place?
The idea doesn’t really  M_grab  me.
This is an  M_engaging  tale of love and loss.
I found the play  M_riveting .
an  M_absorbing  account of his life
I was  M_glued to  my seat.
This is a very  M_attractive  notion.
She has always felt the  M_pull  of foreign travel.
The exhibition proved to be a big  M_draw .
You can rely on their  M_support .
You can always  M_lean on  me.
I need someone to  M_hold my M_hand  – I can’t do it on my own.
I need a  M_shoulder to M_cry on .
Let me  M_lend a M_hand .
They gave me  a M_helping M_hand /a leg-up.
She put her life  in   their hands.
The government stepped in to  M_prop /shore up the fishing industry.
They made some  M_constructive  comments/suggestions.
She’s a  M_pillar  of the community.
They put  M_pressure  on him to go.
I was  under  a lot of pressure.
I felt very  M_pressured .
She  M_pushed  me into agreeing.
He was  M_hauled  in by the police for questioning.
They  M_squeezed  a confession out of him.
The country was  M_dragged  into war.
They kept  M_pressing  me for an answer.
"I didn’t want to do it, but they  M_twisted  my arm."
She managed to  M_twist/wrap  me around her little finger.
"The soldiers were all drunk, and they behaved like  M_animals ."
You greedy  M_pig !
That little  M_rat  has been spying on us.
"Don’t talk to me, you miserable  M_worm ."
It’s time to take action against these  M_sharks  who prey on the poor.
The press were gathering outside her house like  M_vultures .
"I know what you’re up to, you dirty  M_dog ."
His wife was a  M_mousy  little woman.
"You little  M_monkey , have you been playing with my stuff again?"
"There’s nothing to be afraid of, you silly  M_goose ."
"She’s a very original writer, and has never been one to follow the  M_herd ."
"He seems tough, but he’s a  M_pussycat  when you get to know him."
Most people are like  M_sheep  – they just do what everyone else does.
"He described his opponents as  M_dinosaurs , out of touch with present day reality."
The news has  M_hit  him really hard.
The news  M_came as M_quite a M_blow .
I was  M_reeling  from the shock.
It had a huge  M_impact  on them.
We were very  M_moved /touched by her story.
It was very  M_upsetting .
It  M_shook  us to the core.
He made a  M_stirring  speech about duty and loyalty.
I was  M_bowled over /blown away by her.
I felt very  M_torn : I didn’t know what to do.
You’ve  M_injured /hurt her feelings.
She made some very  M_hurtful  remarks.
It  M_pains  me to see you like this.
It was  M_agony  waiting for the results.
Sam looked a bit  M_knocked M_back  by the news.
"Her ego is  M_bruised , but she’ll get over it."
"It’s a disappointment, I know, but you’ll just have to  M_take it on the M_chin ."
We want to get a range of different  M_views .
" M_In my M_view , women should be paid the same as men."
It’s important to look at this from the child’s  M_point of M_view .
"From a personal  M_viewpoint , I’d say the whole thing was a disaster."
The book is written from the  M_vantage M_point  of the losers.
I see things from a slightly different  M_perspective .
The Prime Minister spelled out his  M_vision  of the future.
" M_The M_way M_I M_see M_it/As M_I M_see it , people should take responsibility for their own lives."
" M_From where we M_stand , there’s only one answer to that question."
Try to see this from someone else’s  M_standpoint .
Let’s look at this from a slightly different  M_angle .
There’s  more  to this than meets the eye.
He accused his opponents of suffering from  M_tunnel M_vision .
She’s always  had a M_blind M_spot  where her children are concerned.
They greeted us  M_warmly  when we arrived.
They are very  M_warm-hearted /cold-hearted people.
"I didn’t like him at first, but I soon  M_warmed  to him."
She has a  M_sunny  disposition.
Their friendly greetings were met with a  M_frosty  silence.
We were given a rather  M_chilly  reception.
He stared at us  M_coldly .
She treated us with  M_cool  indifference.
The other two girls began to  M_freeze her out .
Observers have noted a  M_thaw  in Franco-American relations.
They keep  M_piling  more work on me.
I’m  up to  my eyes/ears/eyeballs/neck in work.
I’m  M_drowning  in paperwork.
I have got a lot of work to  M_wade through .
I’m  M_snowed under  with work.
I don’t have time to  M_turn M_around .
We’re absolutely  M_swamped  at the moment.
We’ve been  M_inundated  with phone calls.
They  M_buried /immersed themselves in their work.
She tried to  M_defend  herself against his attacks on her ideas.
She  M_shot down  his argument.
That is an  M_indefensible  point of view.
I decided to pursue another  M_line of M_attack .
"We had a big  M_fight  last night, and I went home early."
There was a lot of  M_conflict  over what to do next.
They  M_clashed  over who to appoint.
It was a real  M_battle of M_wits .
We  did M_battle with  the council about the plans.
I’ve  M_crossed M_swords with  them before.
Tom is always the first to leap to her  M_defence .
She accused him of  M_covering up  the truth.
They  M_hid /concealed the truth as best they could.
He tried to  M_mask /disguise/camouflage his true feelings.
She wanted to  M_bury  the memory of that day.
The operation was  M_cloaked /shrouded/veiled in secrecy.
We will  M_draw a M_veil over  what happened next.
You’re just trying to  M_paper over  the problem.
The project is still  under M_wraps .
They kept it  M_dark  that they were planning to leave next day.
There has been a complete news  M_blackout .
This report is nothing but a  M_whitewash : what really went on?
He  M_uncovered /revealed/exposed a terrible secret.
"After a few minutes, she began to  M_open up  and talk about her family."
You have always been very  M_open  about your feelings.
Someone  M_leaked  the information to the press.
The news had already  M_got out .
My father  M_let the M_cat out of the M_bag  and spoiled the surprise.
Do you know who  M_spilled the M_beans ?
He  M_spilled  his guts to the police.
There are a number of national  M_bodies  that work in this area.
He is  M_head  of a large corporation.
They  M_head up  the overseas section.
The research  M_arm /wing of the company was based in Palo Alto.
She served as the  M_mouthpiece  of the organization.
The public  M_face  of the corporation is environmentally friendly.
Only a  M_skeleton  staff worked during the holiday period.
These three departments form the  M_backbone  of our operation.
There were active  M_cells  in many villages along the border.
Who is the  M_brains  behind this initiative?
 M_Entry-level  jobs are never well-paid.
You need to get  in on the M_ground M_floor .
A lot of women in the company have complained about the  M_glass M_ceiling .
This is the responsibility of people  in M_high M_places .
His diaries recorded life in the  M_corridors of M_power .
The decisions were made  M_behind M_closed M_doors .
"If you ever do it again, you’ll be  out of the M_door ."
You can rely on their  M_support .
You can always  M_lean on  me.
I need someone to  M_hold my M_hand  – I can’t do it on my own.
I need a  M_shoulder to M_cry on .
Let me  M_lend a M_hand .
They gave me  a M_helping M_hand /a leg-up.
She put her life  in   their hands.
The government stepped in to  M_prop /shore up the fishing industry.
They made some  M_constructive  comments/suggestions.
She’s a  M_pillar  of the community.
We want to get a range of different  M_views .
" M_In my M_view , women should be paid the same as men."
It’s important to look at this from the child’s  M_point of M_view .
"From a personal  M_viewpoint , I’d say the whole thing was a disaster."
The book is written from the  M_vantage M_point  of the losers.
I see things from a slightly different  M_perspective .
The Prime Minister spelled out his  M_vision  of the future.
" M_The M_way M_I M_see M_it/As M_I M_see it , people should take responsibility for their own lives."
" M_From where we M_stand , there’s only one answer to that question."
Try to see this from someone else’s  M_standpoint .
Let’s look at this from a slightly different  M_angle .
There’s  more  to this than meets the eye.
He accused his opponents of suffering from  M_tunnel M_vision .
She’s always  had a M_blind M_spot  where her children are concerned.
She has very  M_high /low standards.
The president took the moral  M_high M_ground .
"They are  M_upright , law-abiding people."
"They are fine,  M_upstanding  citizens."
She had  M_lofty  ideals.
He was  above  such small-minded prejudice.
I never thought he’d  M_stoop  to that.
It was a very  M_low /underhand trick.
He’s just a mean and  M_lowdown  cheat.
"After her  M_fall from M_grace , she lost everything."
She’s completely  M_straight : I’d trust her anywhere.
He kept to the  M_straight and M_narrow  after his release from prison.
Are they  on the M_level ? Can we trust them?
I need to  M_level  with you: I can’t pretend that things are OK.
"It was a bad business, involving some  M_crooked  dealers."
It’s not true: you’re  M_twisting  the facts.
The newspapers have  M_put  their own spin/slant on what has happened.
They were accused of  M_bias  in their reporting.
We were presented with a very  M_warped /distorted version of the truth.
He seemed completely  out of M_place  in that company.
Everyone was growing tired of her  M_outlandish  behaviour.
The university environment was rather  M_alien  to me.
There was something  M_otherworldly  about her.
He seems to live in  a M_world of his own .
"Honestly, I sometimes wonder if you and I are  on the same M_planet !"
"Hello,  M_Earth to  Trisha, have you been listening to anything I said?"
She tried to  M_defend  herself against his attacks on her ideas.
She  M_shot down  his argument.
That is an  M_indefensible  point of view.
I decided to pursue another  M_line of M_attack .
"We had a big  M_fight  last night, and I went home early."
There was a lot of  M_conflict  over what to do next.
They  M_clashed  over who to appoint.
It was a real  M_battle of M_wits .
We  did M_battle with  the council about the plans.
I’ve  M_crossed M_swords with  them before.
Tom is always the first to leap to her  M_defence .
She was famed for her  M_plain M_speaking .
Every effort is made to write official documents in  M_plain  English.
He was  M_plain-spoken  almost to the point of rudeness.
Her prose is lucid and  M_unadorned .
I want you to give me the  M_unvarnished  truth.
It says here  in M_black and M_white  that if you don’t have a job you can’t get a visa.
